brick_id,nombre_brick
BOG-001,"ANTONIO NARIÑO, CIUDAD JARDIN"
BOG-002,"ANTONIO NARIÑO, RESTREPO"
BOG-003,"BARRIOS UNIDOS, DOCE DE OCTUBRE"
BOG-004,"BARRIOS UNIDOS, LOS ALCAZARES"
BOG-005,"BARRIOS UNIDOS, LOS ANDES"
BOG-006,"BARRIOS UNIDOS, PARQUE SALITRE"
BOG-007,"BOSA, APOGEO"
BOG-008,"BOSA, BOSA CENTRAL"
BOG-009,"BOSA, BOSA OCCIDENTAL"
BOG-010,"BOSA, EL PORVENIR"
BOG-011,"BOSA, TINTAL SUR"
BOG-012,"CANDELARIA, LA CANDELARIA"
BOG-013,"CHAPINERO, CHAPINERO"
BOG-014,"CHAPINERO, CHICO LAGO"
BOG-015,"CHAPINERO, EL REFUGIO"
BOG-016,"CHAPINERO, PARDO RUBIO"
BOG-017,"CHAPINERO, SAN ISIDRO - PATIOS"
BOG-018,"CIUDAD BOLIVAR, ARBORIZADORA"
BOG-019,"CIUDAD BOLIVAR, EL MOCHUELO"
BOG-020,"CIUDAD BOLIVAR, EL TESORO"
BOG-021,"CIUDAD BOLIVAR, ISMAEL PERDOMO"
BOG-022,"CIUDAD BOLIVAR, JERUSALEM"
BOG-023,"CIUDAD BOLIVAR, LUCERO"
BOG-024,"CIUDAD BOLIVAR, MONTE BLANCO"
BOG-025,"CIUDAD BOLIVAR, SAN FRANCISCO"
BOG-026,"ENGATIVA, ALAMOS"
BOG-027,"ENGATIVA, BOLIVIA"
BOG-028,"ENGATIVA, BOYACA REAL"
BOG-029,"ENGATIVA, ENGATIVA"
BOG-030,"ENGATIVA, GARCES NAVAS"
BOG-031,"ENGATIVA, JARDIN BOTANICO"
BOG-032,"ENGATIVA, LAS FERIAS"
BOG-033,"ENGATIVA, MINUTO DE DIOS"
BOG-034,"ENGATIVA, SANTA CECILIA"
BOG-035,"FONTIBON, AEROPUERTO EL DORADO"
BOG-036,"FONTIBON, CAPELLANIA"
BOG-037,"FONTIBON, CIUDAD SALITRE OCCIDENTAL"
BOG-038,"FONTIBON, FONTIBON"
BOG-039,"FONTIBON, FONTIBON SAN PABLO"
BOG-040,"FONTIBON, GRANJAS DE TECHO"
BOG-041,"FONTIBON, MODELIA"
BOG-042,"FONTIBON, ZONA FRANCA"
BOG-043,"KENNEDY, AMERICAS"
BOG-044,"KENNEDY, BAVARIA"
BOG-045,"KENNEDY, CALANDAIMA"
BOG-046,"KENNEDY, CARVAJAL"
BOG-047,"KENNEDY, CASTILLA"
BOG-048,"KENNEDY, CORABASTOS"
BOG-049,"KENNEDY, GRAN BRITALIA"
BOG-050,"KENNEDY, KENNEDY CENTRAL"
BOG-051,"KENNEDY, LAS MARGARITAS"
BOG-052,"KENNEDY, PATIO BONITO"
BOG-053,"KENNEDY, TIMIZA"
BOG-054,"KENNEDY, TINTAL NORTE"
BOG-055,"LOS MARTIRES, LA SABANA"
BOG-056,"LOS MARTIRES, SANTA ISABEL"
BOG-057,"PUENTE ARANDA, CIUDAD MONTES"
BOG-058,"PUENTE ARANDA, MUZU"
BOG-059,"PUENTE ARANDA, PUENTE ARANDA"
BOG-060,"PUENTE ARANDA, SAN RAFAEL"
BOG-061,"PUENTE ARANDA, ZONA INDUSTRIAL"
BOG-062,"RAFAEL URIBE URIBE, DIANA TURBAY"
BOG-063,"RAFAEL URIBE URIBE, MARCO FIDEL SUAREZ"
BOG-064,"RAFAEL URIBE URIBE, MARRUECOS"
BOG-065,"RAFAEL URIBE URIBE, QUIROGA"
BOG-066,"RAFAEL URIBE URIBE, SAN JOSE"
BOG-067,"SAN CRISTOBAL, 20 DE JULIO"
BOG-068,"SAN CRISTOBAL, LA GLORIA"
BOG-069,"SAN CRISTOBAL, LOS LIBERTADORES"
BOG-070,"SAN CRISTOBAL, SAN BLAS"
BOG-071,"SAN CRISTOBAL, SOSIEGO"
BOG-072,"SANTA FE, LA MACARENA"
BOG-073,"SANTA FE, LAS CRUCES"
BOG-074,"SANTA FE, LAS NIEVES"
BOG-075,"SANTA FE, LOURDES"
BOG-076,"SANTA FE, SAGRADO CORAZON"
BOG-077,"SUBA, BRITALIA"
BOG-078,"SUBA, CASA BLANCA SUBA"
BOG-079,"SUBA, EL PRADO"
BOG-080,"SUBA, EL RINCON"
BOG-081,"SUBA, GUAYMARAL"
BOG-082,"SUBA, LA ACADEMIA"
BOG-083,"SUBA, LA ALHAMBRA"
BOG-084,"SUBA, LA FLORESTA"
BOG-085,"SUBA, NIZA"
BOG-086,"SUBA, SAN JOSE DE BAVARIA"
BOG-087,"SUBA, SUBA"
BOG-088,"SUBA, TIBABUYES"
BOG-089,"TEUSAQUILLO, CIUDAD SALITRE ORIENTAL"
BOG-090,"TEUSAQUILLO, GALERIAS"
BOG-091,"TEUSAQUILLO, LA ESMERALDA"
BOG-092,"TEUSAQUILLO, PARQUE SIMON BOLIVAR - CAN"
BOG-093,"TEUSAQUILLO, QUINTA PAREDES"
BOG-094,"TEUSAQUILLO, TEUSAQUILLO"
BOG-095,"TUNJUELITO, TUNJUELITO"
BOG-096,"TUNJUELITO, VENECIA"
BOG-097,"USAQUEN, COUNTRY CLUB"
BOG-098,"USAQUEN, LA URIBE"
BOG-099,"USAQUEN, LOS CEDROS"
BOG-100,"USAQUEN, PASEO DE LOS LIBERTADORES"
BOG-101,"USAQUEN, SAN CRISTOBAL NORTE"
BOG-102,"USAQUEN, SANTA BARBARA"
BOG-103,"USAQUEN, TOBERIN"
BOG-104,"USAQUEN, USAQUEN"
BOG-105,"USAQUEN, VERBENAL"
BOG-106,"USME, ALFONSO LOPEZ"
BOG-107,"USME, CIUDAD USME"
BOG-108,"USME, COMUNEROS"
BOG-109,"USME, DANUBIO"
BOG-110,"USME, GRAN YOMASA"
BOG-111,"USME, LA FLORA"
BOG-112,"USME, PARQUE ENTRENUBES"
CAL-001,"CALI, AGUABLANCA"
CAL-002,"CALI, CENTRO"
CAL-003,"CALI, CERROS"
CAL-004,"CALI, ESTADIO"
CAL-005,"CALI, EXPANSION"
CAL-006,"CALI, INDUSTRIAL"
CAL-007,"CALI, MANZANA DEL SABER"
CAL-008,"CALI, MELENDEZ"
CAL-009,"CALI, MENGA"
CAL-010,"CALI, PANCE"
CAL-011,"CALI, RIO CAUCA"
CAL-012,"CALI, SANTA ELENA"
CAL-013,"CALI, VALLE DEL LILI"
CAL-014,"CALI, VERSALLES"
CAL-015,"CALI, VILLANUEVA"
CTG-001,"CARTAGENA, BICENTENARIO / LA CAROLINA"
CTG-002,"CARTAGENA, BLAS DE LEZO / SOCORRO"
CTG-003,"CARTAGENA, CENTRO / BOCAGRANDE"
CTG-004,"CARTAGENA, CORREGIMIENTOS COSTEROS"
CTG-005,"CARTAGENA, CRESPO / MARBELLA"
CTG-006,"CARTAGENA, DANIEL LEMAITRE / LA POPA"
CTG-007,"CARTAGENA, EL COUNTRY / CALAMARES"
CTG-008,"CARTAGENA, MAMONAL / INDUSTRIAL"
CTG-009,"CARTAGENA, NELSON MANDELA / SAN PEDRO"
CTG-010,"CARTAGENA, NUEVO BOSQUE / PIEDRA BOLIVAR"
CTG-011,"CARTAGENA, NUEVO PARAISO / LA MAGDALENA"
CTG-012,"CARTAGENA, OLAYA / BOSTON"
CTG-013,"CARTAGENA, OLAYA / GAVIOTAS"
CTG-014,"CARTAGENA, RURAL NORTE"
CTG-015,"CARTAGENA, RURAL PERIFERICA"
CTG-016,"CARTAGENA, RURAL SUR"
CTG-017,"CARTAGENA, TERNERA / SANTA LUCIA"
CTG-018,"CARTAGENA, ZONA COSTERA"
CTG-019,"CARTAGENA, ZONA INSULAR"
MED-001,"MEDELLIN, ARANJUEZ - 4"
MED-002,"MEDELLIN, BELEN - 16"
MED-003,"MEDELLIN, BUENOS AIRES - 9"
MED-004,"MEDELLIN, CASTILLA - 5"
MED-005,"MEDELLIN, DOCE DE OCTUBRE - 6"
MED-006,"MEDELLIN, EL POBLADO - 14"
MED-007,"MEDELLIN, GUAYABAL - 15"
MED-008,"MEDELLIN, LA AMERICA - 12"
MED-009,"MEDELLIN, LA CANDELARIA - 10"
MED-010,"MEDELLIN, LAURELES - ESTADIO - 11"
MED-011,"MEDELLIN, MANRIQUE - 3"
MED-012,"MEDELLIN, POPULAR - 1"
MED-013,"MEDELLIN, ROBLEDO - 7"
MED-014,"MEDELLIN, SAN JAVIER - 13"
MED-015,"MEDELLIN, SANTA CRUZ - 2"
MED-016,"MEDELLIN, VILLA HERMOSA - 8"
